Income,Credit_Score,Loan_Amount,Loan_Term_Months,Employment_Years,Debt_To_Income_Ratio,Default
129436,674,45457,48,0,11.75,No
103099,703,16048,48,4,39.7,No
21398,479,15973,24,6,38.05,Yes
88732,410,32688,36,11,38.85,Yes
149413,640,9216,24,3,41.62,No
73933,387,21314,24,20,14.61,No
87326,807,42594,36,7,10.7,No
76670,547,48729,60,4,9.72,Yes
27738,836,12774,36,19,19.77,No
140703,829,22407,12,4,7.64,No
91647,700,9219,24,14,10.25,No
52006,700,29083,48,0,21.92,No
149589,433,41333,24,13,13.86,No
41244,599,43332,36,6,27.44,Yes
66457,407,42378,12,3,40.08,Yes
116024,531,36497,60,8,35.07,Yes
33112,843,18664,12,4,30.63,Yes
111081,534,19127,12,13,20.61,No
56321,766,33009,60,18,36.66,Yes
131788,486,10828,60,14,12.58,No
47854,596,48040,24,17,31.95,Yes
51092,636,42239,24,0,39.62,Yes
33938,579,6523,24,2,13.75,No
106448,804,13562,48,10,13.21,No
79441,433,44723,48,4,35.68,Yes
94904,527,17624,60,13,28.78,No
66014,599,36677,12,11,37.21,Yes
130454,359,13088,24,14,30.07,Yes
116387,477,27837,12,3,7.79,No
32641,699,30239,48,12,26.56,No
93986,462,49270,24,13,5.11,Yes
87704,664,23020,12,11,41.5,No
140014,326,19985,48,13,19.62,No
41617,704,36161,48,4,12.0,No
57648,779,19111,12,18,22.51,No
45293,831,30195,36,8,6.62,No
85302,620,17645,12,4,12.89,No
111798,842,46574,12,6,14.72,No
58375,426,34325,48,17,19.07,Yes
97844,685,10802,48,4,21.48,No
115371,706,20429,60,9,41.7,No
146699,842,20168,24,6,30.84,No
98171,685,22947,24,12,14.55,No
106550,495,9889,48,10,19.91,No
75437,335,21302,48,20,42.73,Yes
70112,552,37459,60,3,30.78,Yes
119129,396,43376,24,12,11.96,No
143623,611,41292,60,11,39.04,No
38114,704,28841,48,0,29.52,No
120807,788,29777,12,0,44.2,No
111175,609,48616,60,3,41.15,No
107962,315,7753,48,16,11.2,No
74304,750,49060,48,17,15.78,No
85200,647,5815,24,15,42.97,No
144231,722,27198,36,4,20.55,No
66216,422,29546,36,4,28.0,No
129742,766,9215,24,19,13.61,No
74757,334,10003,48,11,21.44,No
95657,696,12573,12,3,39.88,No
46163,375,46849,36,7,5.95,Yes
32311,327,26528,36,15,15.92,Yes
69229,357,7771,60,11,25.28,No
148725,491,49256,36,0,23.09,No
147087,559,8424,36,7,44.86,Yes
44382,763,37498,60,1,26.5,No
127186,746,30576,48,1,26.19,No
111637,357,40354,24,16,11.86,No
108642,335,14327,36,4,38.5,Yes
47299,464,13650,48,4,12.76,No
99785,574,40558,48,18,15.61,No
124834,479,16026,24,13,32.93,Yes
98736,694,45861,48,4,12.02,No
43922,699,17146,12,19,41.57,No
88862,477,44872,60,11,8.08,Yes
119814,434,34329,60,6,40.12,Yes
97139,327,47886,60,19,42.37,Yes
112053,503,42048,48,2,20.14,No
60670,631,8124,60,9,39.07,No
35623,660,12025,48,16,16.52,No
60014,572,27868,36,8,41.68,Yes
116389,683,35201,24,17,28.11,No
107855,386,14065,60,0,19.13,No
133838,455,24179,12,11,14.64,No
96242,530,28346,12,19,5.26,No
45370,549,11330,48,0,11.41,No
135496,508,44983,24,14,15.05,No
45528,552,45264,48,10,26.15,Yes
61653,609,34810,60,2,30.16,Yes
57536,431,33509,12,13,21.61,Yes
110486,625,24130,36,4,34.85,No
86675,778,38648,60,3,28.07,No
21553,707,24797,48,0,44.92,Yes
147584,481,38407,36,16,32.38,Yes
131870,643,5253,36,7,41.8,No
75774,421,42287,36,2,15.9,Yes
142697,376,31212,60,19,21.94,No
108954,741,16306,24,16,22.67,No
143424,701,38730,60,4,34.23,No
58076,310,11648,36,17,25.81,No
35952,564,10987,36,20,23.73,No
37451,399,16816,36,16,8.27,No
147312,436,25285,12,6,15.53,No
130370,702,44595,36,4,15.67,No
70574,680,12450,48,6,44.86,No
142065,830,17509,12,12,19.87,No
114201,611,48841,60,11,29.89,No
148913,318,18787,36,13,20.5,No
56656,804,13025,24,17,22.94,No
122677,311,38534,24,18,34.08,Yes
88725,603,49958,36,16,44.69,Yes
86262,409,6923,36,11,5.31,No
32410,356,46988,12,1,38.63,Yes
148554,774,8599,12,13,19.18,No
63564,546,24095,48,0,20.65,No
80861,759,39892,24,19,40.96,No
100500,431,14589,24,15,29.39,No
146703,701,49311,48,14,34.98,No
29639,440,26957,12,4,30.22,Yes
75347,690,41962,48,19,20.3,No
105049,694,17792,48,14,8.03,No
146469,569,6825,24,18,42.04,Yes
83155,499,27099,60,3,38.03,Yes
79356,826,17631,24,10,25.94,No
85128,746,10548,36,13,38.99,No
21086,843,20715,36,12,40.79,Yes
69773,589,9866,48,8,24.12,No
94525,316,24598,48,3,14.24,No
25470,492,41193,24,11,16.18,Yes
98771,781,42799,36,16,16.16,No
109024,794,21468,12,11,38.09,No
74685,582,27289,36,11,15.91,No
61875,712,18864,36,20,8.48,No
93466,303,42626,36,8,20.51,No
124448,331,14524,48,9,11.17,No
107731,502,49471,24,14,21.46,No
33590,734,7008,12,11,16.72,No
149296,446,48870,60,14,9.75,No
74832,844,12678,48,3,5.09,No
52878,414,19845,48,20,6.65,No
144279,536,35418,24,12,17.38,No
85176,571,46808,60,3,13.67,Yes
138336,568,9135,36,1,36.4,Yes
102792,321,40651,24,15,5.4,No
134851,759,48353,48,14,22.95,No
78111,839,43736,60,19,40.6,Yes
124355,378,43095,24,12,13.73,No
109467,607,40772,36,19,44.83,No
66380,529,9355,12,8,32.47,Yes
80302,631,30942,12,3,27.94,No
114942,317,34295,36,10,5.48,No
145694,447,16963,48,2,36.27,Yes
50462,674,7731,24,11,42.14,No
22633,847,25398,48,18,18.34,No
62522,408,37042,12,11,14.73,Yes
115381,829,17127,12,15,14.26,No
76547,784,8911,12,11,38.78,No
58269,449,40922,36,16,11.04,Yes
143436,556,5776,24,5,29.65,No
39378,810,44951,60,20,30.33,Yes
46975,698,44908,24,13,31.17,Yes
108353,346,45206,60,18,28.4,No
107858,340,42071,48,19,28.61,No
31295,837,21187,36,12,21.89,No
70278,686,21718,24,8,35.6,No
83950,805,18219,48,4,24.58,No
126876,731,32145,12,6,12.45,No
134219,633,31982,36,4,14.71,No
147081,734,43587,12,8,22.5,No
36351,815,45362,24,17,31.83,Yes
20206,585,43778,12,8,15.68,Yes
117735,769,31328,24,18,33.36,No
37131,421,35561,48,1,23.45,Yes
148383,819,6548,24,16,26.63,No
142974,588,47300,12,5,21.06,No
46173,620,36683,60,10,30.37,Yes
44362,849,16617,12,0,24.25,No
98666,489,7436,24,10,26.57,No
66684,650,38919,12,3,24.61,No
131436,662,13125,36,2,31.9,No
132871,503,45848,12,13,19.71,No
120864,794,25463,12,2,35.29,No
109669,555,30240,36,15,22.03,No
101324,593,29053,36,11,5.88,No
30643,467,41557,48,9,29.17,Yes
96373,487,10232,12,7,8.22,No
149901,474,13870,24,4,10.75,No
139138,631,14120,48,15,42.61,No
84731,515,24776,60,14,16.03,No
66886,447,19597,36,17,11.96,No
144199,612,17413,24,18,17.19,No
67814,775,19555,36,15,24.87,No
107654,830,13238,60,18,35.53,No
112316,530,34642,24,18,38.51,Yes
134451,499,23692,48,19,35.03,Yes
60246,838,18293,12,16,32.35,No
100568,791,42340,12,17,8.43,No
31808,535,35762,12,17,39.2,Yes
140133,744,19227,48,3,38.22,No
129394,773,48064,48,18,6.89,No
110296,419,12166,48,18,35.02,Yes
53043,813,49237,48,19,14.36,No
144630,305,23726,24,15,34.07,Yes
111623,592,16703,12,15,10.42,No
22365,406,44386,24,8,43.89,Yes
64469,510,35071,48,8,5.02,Yes
57976,570,26938,48,17,14.21,No
67873,656,49332,24,6,29.83,No
95416,435,28675,24,2,10.6,No
113700,791,39323,36,16,25.51,No
125390,352,35888,24,7,25.55,No
71798,747,38260,12,13,37.53,Yes
110793,531,15142,60,19,29.36,No
123423,806,36099,60,0,39.07,No
34416,651,23733,24,9,44.96,Yes
54530,682,43222,36,13,12.53,No
65459,559,11281,48,6,35.29,Yes
45835,648,12532,60,11,10.49,No
57015,823,33765,36,17,44.89,Yes
43474,809,17125,48,0,18.93,No
93653,677,49117,48,10,39.14,Yes
131264,514,35878,12,12,23.18,No
95297,611,21080,24,15,17.02,No
95135,663,32399,60,8,28.89,No
121969,470,12169,12,9,9.99,No
47505,305,45616,60,9,17.96,Yes
37546,464,40062,60,11,25.26,Yes
66505,583,13423,12,9,7.15,No
128659,464,23344,24,8,23.45,No
137031,473,40734,48,10,5.92,No
142877,534,15379,60,4,6.2,No
23057,507,30692,48,20,12.34,Yes
85407,318,40411,12,18,9.33,No
80070,567,30913,60,15,38.48,Yes
89526,516,7299,24,20,22.41,No
77472,586,9312,12,4,9.2,No
55204,549,11293,36,9,39.65,Yes
89005,543,47166,36,0,16.06,Yes
85815,500,19790,48,17,19.49,No
49533,548,30323,24,19,9.98,Yes
118606,500,16903,36,7,39.21,Yes
20187,487,19364,24,2,43.43,Yes
50352,380,15421,48,6,18.1,No
142258,539,24780,48,18,36.8,Yes
33738,328,31099,24,19,41.78,Yes
69112,731,31294,48,10,43.6,No
145499,404,5951,24,15,11.69,No
135676,677,43893,24,3,7.65,No
101926,502,26891,36,12,25.79,No
77468,565,14786,36,12,31.21,Yes
117190,731,46906,12,14,10.19,No
88251,691,27820,48,7,38.93,No
50920,341,12773,12,19,32.76,Yes
60343,813,11609,36,18,9.82,No
55937,467,5396,12,3,35.36,Yes
124703,646,41023,12,19,24.89,No
24990,711,39931,12,12,13.53,No
132981,662,24845,36,5,40.45,No
71964,405,29420,12,0,23.17,No
119708,726,10659,12,7,7.46,No
65424,716,33795,60,8,14.44,No
68399,387,39777,36,1,37.51,Yes
39499,340,42429,60,3,29.88,Yes
48049,664,27412,48,10,26.1,No
67237,688,49638,24,9,37.98,Yes
89166,752,43270,12,13,31.24,No
123621,414,7927,60,15,42.08,Yes
135902,736,39122,12,18,12.08,No
124254,725,40457,24,1,39.37,No
44851,452,49135,60,4,21.23,Yes
64308,843,43123,60,17,12.03,No
138553,378,9155,36,11,20.23,No
89379,433,38656,60,11,9.5,No
25764,497,45806,36,15,40.17,Yes
110332,453,20681,36,12,35.56,Yes
104700,450,48168,60,11,40.21,Yes
101283,707,43210,36,13,16.8,No
50767,656,7321,24,14,42.72,No
59677,697,16103,60,2,5.62,No
23424,362,20532,24,9,17.97,Yes
131462,534,26784,12,5,33.63,Yes
126736,602,20235,12,14,24.62,No
61731,652,25616,36,13,35.86,No
143219,527,42701,24,18,41.68,Yes
51594,584,23158,60,13,43.0,Yes
98810,381,11228,24,16,11.33,No
138148,560,49598,24,6,9.82,No
101427,397,45065,60,6,26.41,No
76891,350,6855,36,19,16.35,No
23868,459,13777,36,17,33.98,Yes
93005,499,33142,36,1,12.43,No
30718,523,21405,60,11,38.82,Yes
43698,847,37235,36,11,42.04,Yes
145141,309,8072,48,8,16.1,No
85568,419,47243,24,1,8.8,Yes
103026,648,26942,48,5,30.12,No
93751,583,5907,12,6,32.45,Yes
107462,847,15289,36,10,42.05,No
67934,524,8997,36,6,13.58,No
48216,654,34410,24,16,10.46,No
112092,434,42511,12,18,33.63,Yes
134637,720,19820,60,7,7.61,No
125232,653,33359,60,3,35.21,No
31450,392,21010,36,15,23.46,Yes
116799,337,19728,12,14,21.72,No
37254,641,48793,48,13,40.81,Yes
98383,818,12977,24,1,35.95,No
48311,488,37749,48,15,17.04,Yes
39772,599,34799,36,1,24.09,Yes
141450,759,14952,36,12,23.37,No
136421,808,21192,48,19,15.25,No
144744,460,40566,36,4,32.05,Yes
31773,739,38240,60,1,31.37,Yes
142037,689,36929,48,0,34.8,No
108503,574,25061,12,8,5.94,No
48718,806,38037,36,5,35.1,Yes
97909,771,25200,60,10,43.85,No
140985,782,43413,36,11,13.17,No
65526,674,46457,24,18,33.89,Yes
129586,810,11515,24,18,31.65,No
28164,843,41941,12,15,17.93,No
69796,438,42397,12,4,27.87,Yes
113352,791,12424,12,14,25.69,No
29616,618,46078,12,13,37.42,Yes
60069,307,32694,48,12,39.92,Yes
142970,310,22412,48,9,23.77,No
107855,526,16290,24,9,9.75,No
141191,575,25470,24,17,28.32,No
107749,760,47764,24,15,39.34,No
31605,719,37839,24,20,42.97,Yes
41686,794,29266,24,9,11.57,No
43425,502,46937,60,4,14.12,Yes
97905,597,30484,24,0,19.91,No
142986,478,39704,60,14,24.49,No
139187,340,47425,24,8,14.19,No
105222,619,26543,24,14,9.03,No
132757,566,13897,36,11,16.08,No
123558,826,7086,60,17,40.65,No
96562,634,42266,60,18,9.96,No
69974,375,25521,48,5,8.87,No
20392,714,37880,48,4,37.31,Yes
57156,307,32942,36,14,22.14,Yes
111036,682,8030,48,15,29.27,No
129806,845,11888,36,14,17.56,No
119203,838,44145,60,19,27.81,No
62407,509,12194,12,3,18.31,No
72839,449,13384,48,15,7.32,No
87043,512,40870,24,18,26.63,No
119070,588,43904,24,5,22.67,No
33149,513,43221,12,8,19.19,Yes
30094,392,27741,48,6,10.31,Yes
23316,562,5319,60,16,6.96,No
67720,830,46600,36,18,29.46,No
52783,527,15792,36,7,35.92,Yes
38075,758,35843,36,20,42.06,Yes
114212,443,19722,24,11,40.34,Yes
131123,531,25174,12,15,26.12,No
28724,472,6093,48,0,28.23,No
24127,559,18011,48,4,44.83,Yes
52701,484,20050,12,16,23.18,No
98312,414,42603,60,16,27.97,No
75122,839,10244,24,6,26.26,No
119286,522,40483,60,15,21.27,No
97000,346,24019,48,12,16.08,No
125191,564,5094,12,7,25.25,No
60557,679,15242,24,18,17.13,No
147006,570,33362,60,17,9.82,No
74165,605,12773,36,8,27.76,No
146915,556,10239,12,5,34.93,Yes
145516,790,12433,24,19,17.58,No
148699,555,32688,24,1,26.68,No
149951,706,39736,48,8,35.63,No
83964,424,27072,60,0,28.21,No
37384,760,5601,12,16,41.33,No
134219,405,12380,12,19,17.16,No
40027,404,47580,36,13,21.88,Yes
145704,472,12995,12,15,35.34,Yes
77544,765,27632,24,12,30.5,No
48560,465,46085,12,6,16.45,Yes
146869,341,35951,24,15,40.63,Yes
39539,405,31921,36,16,9.19,Yes
70699,611,19901,60,7,38.84,No
129079,404,12106,60,3,44.39,Yes
65254,784,22489,48,6,43.59,No
149177,547,45455,60,8,6.62,No
49301,386,48941,60,3,43.51,Yes
65800,575,32338,60,15,39.04,Yes
45297,553,9238,36,1,39.13,Yes
25684,741,14786,12,14,18.18,No
87426,483,47864,48,19,33.05,Yes
34016,473,40997,60,7,36.44,Yes
75357,845,16701,60,6,22.01,No
70912,317,11979,36,8,35.62,Yes
26442,411,39717,60,15,18.15,Yes
127196,838,35268,36,2,31.71,No
106631,759,26551,60,3,18.51,No
73324,314,22316,48,16,28.06,No
29726,378,14819,48,16,19.59,No
23600,643,19249,60,10,24.82,No
22622,580,11405,12,8,15.27,Yes
94680,823,22819,60,12,39.41,No
81054,680,32735,12,11,24.16,No
130988,327,35794,36,5,26.9,No
136559,479,10078,48,1,33.47,Yes
83431,491,21780,24,4,24.07,No
141377,512,27303,36,13,33.77,Yes
26675,614,41469,48,10,18.93,No
107369,813,13758,36,15,28.74,No
71820,332,38064,48,13,6.75,Yes
120246,767,26375,24,4,32.27,No
63452,522,34709,60,0,30.13,Yes
82895,794,41014,36,12,22.69,No
122513,644,22812,24,20,18.96,No
114684,828,18653,60,0,30.74,No
42884,332,34869,48,7,13.44,Yes
128351,827,34364,48,20,39.16,No
29395,774,49038,60,3,38.93,Yes
112110,576,14489,12,7,17.63,No
24416,606,25141,60,18,5.06,No
82266,748,46633,36,9,44.92,Yes
96362,598,26944,60,2,31.59,Yes
47698,664,18578,24,16,17.8,No
46595,620,17912,12,8,20.49,No
134310,515,49149,36,16,20.58,No
72408,419,10260,60,10,11.55,No
37641,708,23523,48,19,23.48,No
137453,756,44000,24,16,35.27,No
26179,731,27385,36,1,43.3,Yes
94563,430,27142,12,0,41.33,Yes
147555,588,26648,60,14,21.25,No
103493,402,35508,60,9,8.7,No
87633,456,5818,36,17,30.92,Yes
113212,414,18877,60,1,9.17,No
128025,447,29648,48,16,27.63,No
54052,501,38331,36,3,12.79,Yes
132475,470,34428,12,12,30.08,Yes
135404,836,22216,24,13,42.81,No
44363,428,13495,60,1,40.55,Yes
86939,305,49829,60,7,25.99,Yes
91781,364,47105,36,8,20.32,Yes
81200,668,18550,36,5,6.64,No
82024,772,37919,24,18,32.42,No
110187,803,47745,60,15,26.08,No
27881,655,28705,48,20,10.06,No
26856,424,41472,48,10,12.09,Yes
77962,828,16415,24,20,18.15,No
90825,626,23587,36,3,7.74,No
89021,354,26420,48,0,8.98,No
75984,378,39069,12,9,43.3,Yes
62480,569,34955,24,6,39.39,Yes
89187,593,17661,48,4,13.2,No
67423,686,33702,24,19,34.75,No
23656,796,20670,36,12,36.72,Yes
60009,724,48530,48,1,38.23,Yes
124821,626,34908,24,14,32.01,No
143087,718,42108,12,9,16.89,No
80272,569,46964,48,5,6.7,Yes
144311,562,36174,36,7,38.7,Yes
49922,405,8666,48,2,44.11,Yes
120130,520,35722,48,6,12.9,No
77581,621,47482,60,8,19.12,No
20129,643,32603,12,14,7.53,No
102048,644,29276,36,15,25.05,No
59191,467,33242,60,10,5.35,Yes
144581,608,45685,24,18,15.3,No
38636,711,37570,36,4,29.03,No
118444,466,22900,12,8,44.29,Yes
31664,569,46332,48,19,38.48,Yes
77186,507,11855,48,20,11.35,No
42584,381,19117,36,2,15.25,No
54689,418,8599,12,0,5.44,No
49443,380,27713,36,18,18.77,Yes
146875,328,38482,48,17,33.73,Yes
141077,716,39400,36,15,18.56,No
70763,681,26412,12,1,18.61,No
24823,544,24710,24,18,33.58,Yes
94453,649,22817,48,0,27.85,No
79780,435,33448,12,8,13.19,No
60421,576,39915,12,17,23.72,Yes
133667,751,14132,12,3,39.46,No
30369,682,26380,60,12,7.15,No
81779,655,8505,36,6,26.27,No
43002,773,37789,12,11,14.01,No
54084,827,31511,48,10,31.62,Yes
59780,786,32088,60,9,25.86,No
103071,494,18555,24,18,14.98,No
46281,377,25219,48,11,30.09,Yes
21754,678,43047,12,15,14.68,No
33421,538,7771,24,2,34.06,Yes
144797,772,23963,36,13,33.97,No
136234,629,27364,48,3,6.14,No
110691,396,47607,48,15,14.52,No
86675,433,44987,36,6,10.54,Yes
100233,816,10032,60,12,42.16,No
71649,520,23932,60,2,41.26,Yes
26106,626,25468,48,14,11.3,No
26065,822,30316,36,16,17.31,No
45625,701,21645,24,13,7.2,No
147065,573,18519,48,12,41.54,Yes
44864,787,31854,36,15,34.61,Yes
145156,825,9906,24,20,23.99,No
139174,327,6891,24,4,34.24,Yes
129819,419,45373,36,0,40.45,Yes
141181,560,29254,12,4,20.42,No
57085,826,15575,12,13,20.5,No
111488,604,37481,48,7,38.36,No
108018,716,19974,24,3,40.11,No
125572,341,42645,24,2,7.09,No
42651,406,14932,12,6,18.06,No
145010,602,30142,12,2,15.85,No
73084,767,23411,36,18,36.52,No
143914,732,38295,24,8,11.51,No
65408,459,24580,60,9,44.87,Yes
47426,648,21944,24,15,35.29,No
88471,509,47929,24,12,37.84,Yes
69128,684,24012,12,4,38.69,No
133613,413,23597,24,15,26.49,No
61566,505,23730,60,0,39.19,Yes
47828,838,8802,60,3,38.9,No
125760,496,36737,12,2,30.26,Yes
93098,658,31281,24,17,6.26,No
22294,380,48224,12,12,42.69,Yes
78927,843,40264,36,3,16.63,No
78702,405,37411,60,20,38.95,Yes
51059,551,43204,48,18,18.41,Yes
122613,438,36920,12,18,17.62,No
92378,676,43721,48,19,8.03,No
93417,364,23232,24,11,36.62,Yes
108785,784,15432,36,14,12.36,No
111613,787,40537,24,8,22.13,No
24050,492,32093,60,14,39.65,Yes
27481,656,25122,48,2,35.89,Yes
31619,435,30848,48,13,27.15,Yes
71099,638,43960,36,10,41.21,Yes
67281,340,10652,12,8,6.71,No
103164,698,10961,36,11,22.66,No
51233,548,33171,48,2,6.88,Yes
101225,814,24316,24,16,6.35,No
37307,582,36983,48,13,19.73,Yes
92082,427,49111,12,4,39.88,Yes
64178,398,26023,36,19,35.9,Yes
76239,366,20236,24,6,17.02,No
73402,616,26800,60,6,32.99,No
140493,680,44695,24,16,9.41,No
80175,482,39610,36,11,38.61,Yes
68315,706,26741,48,4,9.54,No
71562,454,13251,48,18,41.98,Yes
42946,434,8082,60,11,16.99,No
107799,485,14331,12,17,10.78,No
43924,538,44036,12,13,26.64,Yes
51321,404,14538,60,15,42.73,Yes
104523,838,46049,36,13,26.1,No
104287,739,34708,36,12,34.65,No
112800,693,15436,24,9,30.15,No
92760,421,10538,60,10,13.62,No
99913,827,20516,48,7,10.98,No
39784,598,11580,24,18,20.2,No
112115,442,13501,12,4,31.79,Yes
56885,695,15823,36,7,9.97,No
28139,696,9349,36,5,26.77,No
56365,502,44059,12,20,35.07,Yes
104812,699,29366,12,19,38.09,No
24654,795,36674,12,12,32.46,Yes
53058,630,20990,36,20,13.32,No
55753,427,36197,60,0,37.44,Yes
56881,620,16207,48,14,28.95,No
39953,753,32976,48,3,15.23,No
52234,489,5301,12,18,18.04,No
34046,358,27872,24,19,36.58,Yes
48953,479,38967,36,1,26.49,Yes
126647,747,10417,60,20,29.25,No
93815,614,26403,12,7,27.22,No
77660,324,31584,24,0,36.55,Yes
86261,613,30749,48,18,43.69,No
116310,558,11569,60,6,20.67,No
46814,719,44193,60,19,12.77,No
139235,754,41513,12,2,42.03,No
78610,534,30701,24,5,24.67,No
94798,656,25050,36,8,15.41,No
35781,689,41451,24,0,40.05,Yes
133224,532,36510,60,18,33.98,Yes
71489,623,48084,12,18,15.12,No
38629,555,7053,60,8,6.62,No
34639,648,30649,24,15,36.43,Yes
96485,751,34988,60,11,14.3,No
40254,653,40662,60,14,40.69,Yes
111493,814,13517,60,3,14.36,No
133490,348,42720,12,9,37.91,Yes
85745,359,46500,24,11,40.23,Yes
20569,665,14038,36,8,33.6,Yes
73714,461,14691,48,5,39.27,Yes
102126,773,43289,48,4,32.97,No
88961,510,14045,24,16,19.56,No
63426,807,7991,36,0,12.18,No
25598,550,27591,60,13,22.41,Yes
64762,639,32233,48,0,39.33,No
54615,591,44186,48,18,35.6,Yes
76483,712,27875,48,15,35.98,No
128632,388,43764,48,4,34.64,Yes
30047,848,24566,60,17,14.89,No
129331,629,36537,24,7,25.02,No
92634,600,36976,12,6,41.54,No
64182,774,13532,12,2,26.83,No
139477,784,36339,60,13,36.91,No
57544,675,25332,48,16,29.51,No
40151,375,33684,48,9,5.44,Yes
43387,387,12499,12,17,17.75,No
20182,824,40423,48,4,11.41,No
54731,317,27133,60,6,21.79,No
61967,796,5252,48,2,35.01,No
106835,364,48806,24,15,38.45,Yes
64985,407,32918,36,17,25.97,Yes
85364,615,33595,60,3,37.13,No
26538,449,46477,36,18,14.66,Yes
68876,780,44385,12,1,23.83,No
97867,300,13648,48,12,31.92,Yes
76242,493,19991,60,12,22.63,No
137600,647,9389,60,17,41.48,No
113907,571,44948,36,10,8.38,No
102441,326,41915,36,19,36.74,Yes
73448,440,7391,24,7,21.41,No
133198,799,11799,60,13,43.16,No
53498,623,49644,36,3,26.59,No
144893,798,20280,48,18,17.85,No
63407,659,45513,12,14,6.66,No
53574,471,36020,48,5,24.02,Yes
24384,554,11294,60,12,28.63,No
47850,563,31057,36,5,7.51,Yes
35840,508,17549,60,5,32.87,Yes
47796,720,15107,12,13,8.54,No
131210,505,37367,12,13,13.71,No
120111,719,22591,60,5,44.35,No
83828,343,5787,36,6,11.28,No
145735,447,11157,36,1,16.0,No
129223,392,34220,12,10,32.88,Yes
42315,550,36512,48,16,39.78,Yes
60762,455,49061,48,0,41.3,Yes
82757,447,21181,12,9,44.03,Yes
52913,675,8682,48,5,14.96,No
86122,472,22837,36,3,41.23,Yes
49099,707,37307,12,10,11.67,No
133027,410,32751,24,0,8.86,No
36434,412,17788,48,6,19.36,No
90851,518,49265,12,20,44.2,Yes
23416,377,44210,60,0,29.12,Yes
26849,811,44467,36,6,20.4,No
105851,785,7684,60,5,35.5,No
24510,507,44564,60,5,6.28,Yes
141531,462,22176,24,12,34.26,Yes
126384,310,44636,24,13,6.79,No
70460,544,5610,48,8,11.33,No
40989,444,41264,12,20,16.72,Yes
78539,597,27973,48,17,23.5,No
110272,834,26736,12,15,43.26,No
113228,300,18168,48,8,20.64,No
114070,610,46105,12,6,39.22,No
66461,325,15540,60,15,27.47,No
86727,542,20455,12,14,17.36,No
131129,769,43784,48,7,24.69,No
67967,691,5265,36,8,13.77,No
85461,317,41737,60,8,38.42,Yes
54120,401,46845,12,14,8.64,Yes
127664,578,17387,24,18,16.38,No
55794,723,5448,60,13,19.81,No
66379,459,8978,12,0,33.48,Yes
78442,480,46483,12,10,40.3,Yes
122222,846,40856,60,7,40.03,No
49046,814,30910,60,15,10.66,No
122769,372,33804,36,16,43.17,Yes
106700,407,21192,24,2,31.76,Yes
115799,436,20320,60,12,11.13,No
142032,567,5816,60,14,20.44,No
49510,570,14251,48,0,11.01,No
64290,326,18699,36,19,36.5,Yes
61223,723,39187,48,14,11.93,No
53146,658,9566,60,17,36.21,No
